absa_seat,absa_food,absa_staff,absa_ground_service,absa_entertainment,Verified,Type Of Traveller,Seat Type,review_length,Recommended
0.9836,0.9785,0.9798,0.9605,0.9764,False,Business,Business Class,477,1
-0.7716,-0.9255,-0.5885,-0.9465,-0.8913,False,Family Leisure,Economy Class,343,0
0.9933,0.7591,0.9852,0.8601,0.9577,False,Family Leisure,Economy Class,381,1
0.9968,0.9925,0.9911,0.9841,0.9916,False,Family Leisure,Economy Class,330,1
0.7556,0.3058,0.8549,0.0281,0.3382,False,Unknown,Economy Class,424,1
0.9326,0.9694,0.9825,0.7203,0.958,False,Unknown,Economy Class,249,1
0.9917,0.7967,0.9345,0.4057,0.8441,False,Unknown,Business Class,439,1
-0.1093,-0.6082,0.1137,-0.6953,-0.5719,False,Unknown,Economy Class,675,0
0.9715,0.9406,0.9755,0.784,0.8644,False,Unknown,Economy Class,403,1
0.9524,-0.7788,0.9911,0.6828,0.8897,False,Unknown,Economy Class,433,1
0.9966,0.9863,0.9942,0.9294,0.974,False,Unknown,Economy Class,248,1
0.9878,0.9399,0.9283,0.3665,0.906,False,Unknown,Business Class,423,1
0.993,0.9899,0.9958,0.9628,0.9858,False,Unknown,Economy Class,243,1
0.9965,0.996,0.9972,0.8545,0.9935,False,Unknown,Economy Class,205,1
0.9782,0.9835,0.9917,0.9452,0.9807,False,Unknown,Economy Class,629,1
0.9893,0.9737,0.9784,0.9136,0.973,False,Unknown,Economy Class,639,1
0.9615,0.9506,0.9621,0.5108,0.9263,False,Unknown,Business Class,306,1
0.9198,0.7624,0.9713,0.5032,0.7456,False,Unknown,Business Class,777,1
0.9863,0.9133,0.9739,0.7743,0.9178,False,Unknown,Economy Class,411,1
0.989,0.9738,0.9814,0.7185,0.9795,False,Unknown,Economy Class,293,1
0.6476,-0.1443,-0.482,-0.1754,0.0885,False,Unknown,Economy Class,402,1
0.6209,-0.0125,-0.6618,-0.069,0.0242,False,Unknown,Economy Class,344,1
0.9742,0.9699,0.9941,0.8187,0.9506,False,Unknown,Economy Class,310,1
0.9932,0.9647,0.9832,0.8102,0.9628,False,Unknown,Economy Class,458,1
0.9689,0.8849,0.9534,0.3599,0.8489,False,Unknown,Economy Class,387,0
0.9074,0.9808,0.9947,0.5511,0.7757,False,Unknown,Economy Class,250,1
0.8886,0.8841,0.975,0.6724,0.9003,False,Unknown,Business Class,442,1
0.9116,0.485,0.9841,-0.3947,0.5447,False,Unknown,Business Class,291,1
0.8943,0.8287,0.9804,0.3592,0.7045,False,Unknown,Economy Class,364,1
0.8078,0.9681,-0.7924,-0.0049,0.3885,False,Unknown,Economy Class,410,0
0.3401,-0.0396,0.1699,-0.2333,-0.0031,False,Unknown,Economy Class,854,0
-0.126,-0.7604,0.4153,-0.2564,-0.0431,False,Unknown,Economy Class,1041,1
0.9901,0.7823,0.9737,0.7856,0.904,False,Unknown,Economy Class,233,1
0.3563,-0.6397,-0.8453,-0.4822,-0.1373,False,Unknown,Economy Class,634,1
0.6019,-0.246,-0.525,-0.679,-0.1358,False,Unknown,Unknown,566,0
0.9663,0.9921,0.9852,0.7629,0.9509,False,Unknown,Unknown,380,0
0.9203,0.8525,0.9912,0.4899,0.8455,False,Unknown,Unknown,402,0
0.114,0.1403,0.4676,0.1241,0.406,False,Unknown,Unknown,535,0
-0.4681,0.9872,0.9968,0.7023,0.9801,False,Unknown,Unknown,266,0
0.9451,-0.3274,0.9872,0.6565,0.9104,False,Unknown,Unknown,430,0
0.9491,0.6901,0.9049,0.4605,0.659,False,Unknown,Unknown,688,0
0.9078,0.0036,0.9904,0.3788,0.8474,False,Unknown,Unknown,368,0
0.9883,0.8677,0.9824,0.6533,0.8957,False,Unknown,Unknown,564,0
0.9197,0.8432,0.8936,0.8243,0.8437,False,Unknown,Unknown,574,0
0.9146,0.5274,0.99,0.8276,0.9302,False,Unknown,Unknown,497,0
-0.8113,0.6717,0.7674,-0.1889,0.7794,False,Unknown,Unknown,657,0
0.9489,0.9326,0.9821,0.5898,0.9186,False,Unknown,Unknown,339,0
0.9821,0.8912,0.9942,0.8685,0.9555,False,Unknown,Unknown,525,0
0.8181,0.7448,0.971,0.7456,0.8025,False,Unknown,Unknown,391,0
0.9919,0.7839,0.9924,0.6373,0.974,False,Unknown,Unknown,311,0
0.5279,0.198,0.3977,0.1042,0.5659,False,Unknown,Unknown,776,0
0.944,-0.21,0.9616,0.7144,0.9248,False,Unknown,Unknown,212,0
0.9723,0.8954,0.9839,0.8561,0.9632,False,Unknown,Unknown,701,0
0.3998,-0.1724,0.0194,-0.2099,0.1442,False,Unknown,Unknown,1088,0
0.9587,0.9325,0.9682,0.8871,0.9301,False,Unknown,Unknown,973,0
-0.8491,-0.9294,-0.9437,-0.9439,-0.9031,True,Family Leisure,Economy Class,1069,0
-0.8698,-0.873,-0.8733,-0.8759,-0.8759,True,Couple Leisure,Economy Class,2008,0
-0.9142,-0.9436,-0.9719,-0.9381,-0.9024,True,Family Leisure,Economy Class,727,1
-0.872,-0.9322,-0.955,-0.934,-0.9211,True,Couple Leisure,Premium Economy,373,0
-0.9576,-0.9832,-0.9873,-0.985,-0.9773,False,Couple Leisure,Economy Class,588,0
-0.6732,-0.777,-0.8237,-0.8602,-0.7544,False,Couple Leisure,Business Class,293,0
-0.9205,-0.9309,-0.9317,-0.9337,-0.9282,False,Couple Leisure,Economy Class,2389,0
0.9352,0.9266,0.9459,0.8376,0.9306,True,Couple Leisure,Economy Class,405,1
0.937,0.9531,0.7222,0.3194,0.8147,True,Business,Business Class,449,1
-0.7881,-0.9303,-0.9369,-0.6648,-0.9086,True,Business,Economy Class,318,0
-0.8872,-0.9343,-0.9753,-0.968,-0.9463,False,Business,Business Class,271,0
0.8395,-0.8878,-0.3986,-0.3535,0.5535,True,Couple Leisure,Economy Class,622,1
-0.2783,-0.671,-0.8447,-0.7834,-0.5788,True,Solo Leisure,Economy Class,427,0
-0.0678,-0.825,-0.9608,-0.7662,-0.6286,True,Couple Leisure,Economy Class,407,0
0.9887,0.9822,0.9882,0.9713,0.9822,True,Couple Leisure,Economy Class,1071,1
0.7056,0.5081,0.782,0.133,0.8407,True,Couple Leisure,Business Class,674,1
-0.9765,-0.9831,-0.9863,-0.9845,-0.9802,True,Family Leisure,Economy Class,526,0
-0.4214,-0.7112,-0.8249,-0.4554,-0.563,False,Business,Economy Class,706,0
0.9764,0.9622,0.9747,0.5272,0.9578,True,Couple Leisure,Economy Class,440,1
0.9825,0.977,0.9966,0.8441,0.9601,True,Solo Leisure,Economy Class,265,1
0.9888,0.9798,0.9881,0.9608,0.9664,True,Solo Leisure,Economy Class,580,1
-0.2772,-0.6761,-0.7716,-0.7811,-0.4476,True,Solo Leisure,Economy Class,954,0
-0.9287,-0.9318,-0.9423,-0.9409,-0.9321,True,Solo Leisure,Economy Class,1677,0
-0.8591,-0.882,-0.9598,-0.9577,-0.8395,True,Solo Leisure,Economy Class,206,0
0.9941,0.9921,0.9645,0.9758,0.9819,True,Couple Leisure,Business Class,323,1
-0.8685,0.9561,0.9943,0.908,0.9928,True,Family Leisure,Business Class,261,1
0.0021,-0.0072,-0.0345,-0.0485,-0.005,True,Business,Economy Class,353,0
-0.3564,-0.5421,-0.9589,-0.6487,-0.3336,True,Family Leisure,Economy Class,261,0
0.4374,0.9632,0.9603,0.8459,0.9649,True,Family Leisure,Economy Class,278,0
-0.7362,-0.8933,-0.9226,-0.8952,-0.8581,True,Couple Leisure,Economy Class,987,0
0.5296,-0.4964,-0.7924,-0.5994,-0.3611,True,Family Leisure,Economy Class,714,0
-0.8694,-0.9435,-0.9589,-0.9474,-0.9326,False,Solo Leisure,Economy Class,731,0
-0.9062,-0.8984,-0.8822,-0.8948,-0.8825,True,Family Leisure,Economy Class,683,0
-0.8756,-0.9851,-0.9913,-0.9685,-0.9567,True,Solo Leisure,Economy Class,198,0
-0.9381,-0.9911,-0.9936,-0.9952,-0.9832,True,Solo Leisure,Economy Class,161,0
-0.8425,-0.9448,-0.9534,-0.9454,-0.8854,True,Family Leisure,Economy Class,910,0
0.99,0.9902,0.9922,0.941,0.9891,True,Solo Leisure,Economy Class,287,1
-0.8527,-0.8981,-0.9213,-0.8961,-0.8682,True,Family Leisure,Economy Class,1142,0
-0.6309,-0.9178,-0.9323,-0.9351,-0.8742,True,Business,Economy Class,644,0
0.9895,0.98,0.9912,0.9874,0.9903,True,Solo Leisure,Economy Class,587,1
-0.9474,-0.9786,-0.9872,-0.9831,-0.9566,True,Couple Leisure,Economy Class,351,0
-0.8923,-0.9243,-0.9344,-0.9215,-0.9148,True,Business,Economy Class,1259,0
-0.9613,-0.9779,-0.9833,-0.9791,-0.9726,True,Couple Leisure,Economy Class,644,0
-0.76,-0.8577,-0.8851,-0.862,-0.8117,False,Couple Leisure,Economy Class,1176,0
-0.831,-0.8959,-0.938,-0.9179,-0.8519,True,Solo Leisure,Economy Class,427,0
-0.6264,-0.8345,-0.9481,-0.8948,-0.762,True,Couple Leisure,Economy Class,602,0
0.7857,0.7928,0.8188,0.6019,0.8398,True,Family Leisure,Economy Class,1044,1
0.9957,0.9803,0.9975,0.8931,0.9784,True,Solo Leisure,Economy Class,185,1
0.403,-0.3427,-0.8432,-0.7069,-0.1601,True,Business,Economy Class,189,0
-0.7317,-0.9288,-0.9488,-0.9399,-0.8821,True,Couple Leisure,Economy Class,1084,0
0.7097,0.9359,0.8794,0.7499,0.2208,True,Solo Leisure,Economy Class,663,1
-0.6587,-0.8062,-0.8903,-0.8435,-0.6961,True,Couple Leisure,Economy Class,541,0
0.2077,-0.5076,-0.6331,-0.6498,-0.3283,True,Couple Leisure,Economy Class,420,0
0.9903,0.9848,0.9903,0.9484,0.9845,True,Solo Leisure,Economy Class,301,1
-0.7601,-0.886,-0.9381,-0.8688,-0.8252,True,Solo Leisure,Economy Class,734,0
0.9923,0.9925,0.9936,0.9857,0.9913,False,Business,Economy Class,448,1
0.0817,-0.8274,-0.9077,-0.9556,-0.4565,True,Family Leisure,Economy Class,165,0
-0.9702,-0.9538,-0.9882,-0.979,-0.972,True,Business,Economy Class,337,0
-0.9318,-0.9801,-0.9901,-0.9751,-0.9531,True,Business,Economy Class,265,0
-0.5543,-0.9504,-0.9776,-0.9744,-0.8611,True,Couple Leisure,Economy Class,243,0
0.8348,0.7728,0.8655,0.7299,0.8108,False,Solo Leisure,Economy Class,797,1
0.2921,0.1019,0.6546,-0.0729,0.0861,True,Solo Leisure,Economy Class,640,0
-0.9068,-0.963,-0.9729,-0.9776,-0.948,True,Solo Leisure,Premium Economy,341,0
-0.536,-0.7163,-0.7091,-0.6238,-0.5671,True,Solo Leisure,Economy Class,850,0
0.8913,0.8201,0.9439,0.5933,0.8608,False,Solo Leisure,Economy Class,390,1
-0.8857,-0.9573,-0.9726,-0.9516,-0.9113,False,Business,Economy Class,393,0
0.4272,0.2369,0.232,0.1301,0.2588,True,Couple Leisure,Business Class,1464,1
-0.9459,-0.9741,-0.9792,-0.9882,-0.9662,False,Solo Leisure,Economy Class,773,0
0.9503,0.9354,0.9001,0.8578,0.9399,False,Solo Leisure,Economy Class,685,1
-0.7374,-0.8581,-0.8946,-0.9203,-0.7846,True,Couple Leisure,Premium Economy,760,0
-0.8738,-0.9187,-0.9767,-0.9322,-0.8764,True,Couple Leisure,Economy Class,665,0
0.9902,0.9884,0.9891,0.9757,0.9814,True,Solo Leisure,Economy Class,336,1
0.9714,0.9633,0.9697,0.9282,0.9658,False,Solo Leisure,Economy Class,754,1
-0.9311,-0.9531,-0.955,-0.9495,-0.9564,True,Family Leisure,Economy Class,832,0
-0.7592,-0.918,-0.9184,-0.9227,-0.8793,True,Couple Leisure,Economy Class,694,0
-0.9347,-0.9307,-0.9452,-0.9458,-0.8502,True,Business,Business Class,201,0
-0.8246,-0.9563,-0.9758,-0.9606,-0.9343,False,Couple Leisure,Economy Class,667,0
-0.0668,-0.0777,-0.0797,-0.0799,-0.0991,True,Couple Leisure,Economy Class,2154,0
0.9911,0.9909,0.992,0.9772,0.9901,False,Solo Leisure,Economy Class,1008,1
-0.8572,-0.8809,-0.9276,-0.9007,-0.8665,True,Business,Economy Class,1449,0
0.9666,0.9861,0.9836,0.8088,0.9561,True,Business,Economy Class,715,1
0.996,0.9932,0.9958,0.9742,0.9932,False,Solo Leisure,Economy Class,458,1
0.8339,-0.6986,0.9594,0.7304,0.8788,False,Family Leisure,Economy Class,756,1
-0.2481,-0.6535,0.86,-0.6927,-0.7341,True,Family Leisure,Economy Class,459,1
-0.2234,-0.8473,-0.9244,-0.8751,-0.6711,True,Family Leisure,Economy Class,505,0
0.9899,0.9903,0.9959,0.9012,0.9855,True,Solo Leisure,Economy Class,215,1
-0.5617,-0.9135,-0.9625,-0.95,-0.8044,True,Business,Economy Class,455,0
-0.9461,-0.9552,-0.9414,-0.9791,-0.9294,True,Business,Economy Class,844,0
0.0395,-0.4463,-0.9051,-0.7943,-0.2277,True,Business,Economy Class,394,0
-0.9317,-0.9549,-0.9776,-0.9661,-0.9082,True,Family Leisure,Economy Class,326,0
-0.3186,-0.463,0.7697,-0.6746,-0.2417,True,Solo Leisure,Economy Class,462,1
0.9006,0.8488,0.8983,0.7977,0.8368,True,Couple Leisure,Economy Class,821,1
-0.6972,-0.9629,-0.9866,-0.9688,-0.8977,True,Couple Leisure,Economy Class,511,0
0.9059,0.6202,0.9844,0.3992,0.6903,True,Solo Leisure,Economy Class,532,0
-0.7643,-0.8223,-0.8529,-0.8114,-0.7903,True,Solo Leisure,Economy Class,914,0
-0.6483,-0.9436,-0.9732,-0.9432,-0.7426,True,Couple Leisure,Economy Class,333,0
-0.8183,-0.9242,-0.9505,-0.9482,-0.9075,True,Solo Leisure,Economy Class,580,0
0.2467,-0.7111,-0.868,-0.7212,-0.1392,True,Business,Economy Class,450,0
0.9396,0.8985,0.94,0.9235,0.9107,False,Solo Leisure,Business Class,495,1
0.9817,0.9784,0.9878,0.8472,0.9761,False,Family Leisure,Economy Class,495,1
-0.9086,-0.9504,-0.9494,-0.9416,-0.9267,False,Couple Leisure,Economy Class,1596,0
0.146,-0.2953,-0.2479,-0.307,-0.8823,True,Couple Leisure,Economy Class,698,0
0.9751,0.9677,0.975,0.879,0.9615,True,Couple Leisure,Economy Class,183,1
-0.8309,-0.9479,-0.9735,-0.9298,-0.861,False,Couple Leisure,Economy Class,505,0
-0.9564,-0.9842,-0.9895,-0.9855,-0.9659,False,Solo Leisure,Economy Class,347,0
-0.3412,-0.899,-0.9533,-0.9192,-0.8038,False,Couple Leisure,Economy Class,591,0
-0.7808,-0.8698,-0.8855,-0.8654,-0.8263,False,Family Leisure,Economy Class,961,0
-0.9495,-0.9672,-0.977,-0.9656,-0.9746,False,Couple Leisure,Economy Class,754,0
-0.9234,-0.9773,-0.9842,-0.9791,-0.9655,False,Family Leisure,Economy Class,437,0
-0.9613,-0.9805,-0.9836,-0.9792,-0.9731,True,Family Leisure,Economy Class,475,0
-0.9539,-0.9828,-0.9858,-0.9831,-0.9883,True,Family Leisure,Economy Class,354,0
-0.7447,-0.9268,-0.9754,-0.9334,-0.8931,False,Couple Leisure,Economy Class,706,0
0.9954,0.9881,0.9883,0.9682,0.9882,True,Family Leisure,Economy Class,295,1
-0.8733,-0.9608,-0.9835,-0.9665,-0.9395,False,Couple Leisure,Economy Class,549,0
-0.7665,-0.8861,-0.9425,-0.9257,-0.8426,True,Couple Leisure,Economy Class,440,0
-0.8661,-0.9253,-0.945,-0.9476,-0.9096,True,Solo Leisure,Economy Class,862,0
-0.9829,-0.9915,-0.9938,-0.9883,-0.9886,False,Couple Leisure,Economy Class,511,0
0.8002,0.2915,0.2998,0.3149,0.3966,True,Couple Leisure,Business Class,1553,1
-0.6724,-0.7381,-0.7643,-0.7896,-0.7334,True,Family Leisure,Economy Class,1880,0
-0.8884,-0.9075,-0.916,-0.9164,-0.8975,False,Business,Economy Class,1306,0
-0.6193,-0.7033,-0.8061,-0.7409,-0.5984,False,Family Leisure,Economy Class,725,0
0.0097,-0.9206,-0.7291,-0.7202,-0.4291,True,Business,Business Class,896,0
-0.2499,-0.4302,-0.5621,-0.5574,-0.3735,True,Solo Leisure,Economy Class,1361,1
-0.7911,-0.8892,-0.9376,-0.8922,-0.8709,True,Business,Business Class,897,0
-0.899,-0.9613,-0.9901,-0.8823,-0.9233,True,Solo Leisure,Economy Class,415,0
-0.9092,-0.9348,-0.9358,-0.9331,-0.9174,True,Family Leisure,Economy Class,2049,0
0.9822,0.9787,0.9786,0.9694,0.977,True,Business,Economy Class,287,1
-0.6002,-0.5982,-0.6037,-0.6226,-0.6084,False,Couple Leisure,Economy Class,2465,0
0.9508,0.9085,0.9403,0.7163,0.9183,False,Business,Premium Economy,629,1
-0.5898,-0.5942,-0.6199,-0.6303,-0.5834,True,Couple Leisure,Business Class,1974,0
-0.7583,-0.778,-0.8825,-0.8228,-0.7971,True,Solo Leisure,Economy Class,1718,0
-0.5144,-0.9195,-0.9048,-0.8764,-0.8558,True,Business,Business Class,1379,0
-0.8956,-0.9531,-0.9746,-0.9544,-0.945,False,Family Leisure,Economy Class,863,0
-0.9822,-0.9819,-0.9847,-0.9809,-0.9808,True,Solo Leisure,Economy Class,612,0
-0.9555,-0.9723,-0.9854,-0.975,-0.9635,True,Solo Leisure,Economy Class,622,0
0.9952,0.9931,0.9942,0.9497,0.993,True,Couple Leisure,Economy Class,158,1
-0.9411,-0.9622,-0.9594,-0.9629,-0.9537,False,Family Leisure,Economy Class,1403,0
-0.6715,-0.94,-0.9806,-0.9626,-0.8764,False,Solo Leisure,Economy Class,505,0
-0.8914,-0.9413,-0.8811,-0.9478,-0.92,False,Solo Leisure,Economy Class,542,1
-0.9394,-0.9696,-0.9745,-0.979,-0.9615,True,Business,Economy Class,693,0
-0.7184,-0.8795,-0.9187,-0.7891,-0.8075,True,Family Leisure,Economy Class,1497,0
-0.4153,-0.969,-0.9805,-0.9609,-0.9085,True,Family Leisure,Economy Class,405,0
-0.8849,-0.9667,-0.9693,-0.9663,-0.942,False,Couple Leisure,Economy Class,759,0
0.4613,-0.2958,-0.6509,-0.3864,-0.1697,True,Solo Leisure,Economy Class,1855,0
-0.8761,-0.8871,-0.3954,-0.4783,-0.2923,False,Couple Leisure,Economy Class,489,1
-0.9377,-0.9549,-0.9657,-0.9544,-0.9515,True,Couple Leisure,Economy Class,1352,0
-0.9528,-0.9716,-0.9764,-0.9707,-0.9702,True,Family Leisure,Business Class,1543,0
-0.9709,-0.9858,-0.9797,-0.9823,-0.9811,False,Solo Leisure,Economy Class,629,0
-0.9356,-0.9728,-0.9847,-0.9836,-0.9544,True,Family Leisure,Economy Class,433,0
-0.8785,-0.927,-0.9487,-0.9278,-0.922,False,Family Leisure,Economy Class,901,0
-0.6664,-0.8368,-0.8629,-0.8582,-0.802,False,Solo Leisure,Economy Class,1413,0
-0.8641,-0.932,-0.9395,-0.935,-0.541,True,Solo Leisure,Economy Class,1329,0
-0.8902,-0.9505,-0.9545,-0.9639,-0.9399,False,Business,Premium Economy,464,0
-0.9428,-0.9608,-0.9693,-0.9603,-0.9537,False,Couple Leisure,Economy Class,1032,0
-0.9171,-0.9542,-0.9751,-0.9336,-0.9419,True,Solo Leisure,Economy Class,516,0
-0.9899,-0.9753,-0.9776,-0.9882,-0.9513,True,Solo Leisure,Economy Class,180,0
-0.7843,-0.9206,-0.8844,-0.8648,-0.8448,False,Family Leisure,Economy Class,1206,0
-0.8047,-0.9395,-0.9753,-0.9503,-0.9381,False,Solo Leisure,Economy Class,472,0
-0.7608,-0.9531,-0.9739,-0.9528,-0.9302,True,Couple Leisure,Economy Class,467,0
-0.6368,-0.9894,-0.979,-0.93,-0.9002,True,Family Leisure,Economy Class,215,0
-0.4175,-0.7519,-0.8147,-0.8026,-0.6972,False,Couple Leisure,Economy Class,1056,0
-0.4355,-0.7073,-0.5071,-0.4674,-0.423,True,Family Leisure,Economy Class,1672,0
-0.621,-0.9611,-0.9935,-0.5433,-0.5143,True,Solo Leisure,Economy Class,152,0
-0.8962,-0.9721,-0.9825,-0.9719,-0.95,False,Solo Leisure,Economy Class,338,0
-0.4901,-0.8437,-0.8817,-0.8709,-0.7752,True,Couple Leisure,Economy Class,749,0
-0.7956,-0.9196,-0.9373,-0.9359,-0.881,False,Couple Leisure,Economy Class,781,0
-0.7773,-0.9108,-0.9333,-0.916,-0.8867,False,Business,Business Class,709,0
-0.9371,-0.9401,-0.9562,-0.9623,-0.941,True,Solo Leisure,Economy Class,607,0
0.2993,0.3425,0.6066,0.1211,0.3133,False,Solo Leisure,Economy Class,557,0
-0.827,-0.9502,-0.9836,-0.9566,-0.9147,True,Solo Leisure,Economy Class,469,0
-0.9161,-0.9756,-0.9821,-0.9791,-0.9571,False,Couple Leisure,Economy Class,397,0
-0.9791,-0.9903,-0.9918,-0.9896,-0.987,True,Solo Leisure,Economy Class,642,0
-0.2004,-0.3858,-0.5332,-0.3738,-0.3344,True,Couple Leisure,Economy Class,1309,0
-0.6113,-0.9954,-0.9932,-0.8673,-0.8158,False,Family Leisure,Economy Class,180,0
-0.8071,-0.9357,-0.9541,-0.9374,-0.9078,True,Business,Economy Class,471,0
-0.7155,-0.9161,-0.9795,-0.9543,-0.8129,False,Solo Leisure,Economy Class,396,0
-0.7221,-0.8633,-0.9522,-0.8554,-0.8327,True,Solo Leisure,Economy Class,1064,0
-0.9099,-0.958,-0.9669,-0.9488,-0.9458,True,Couple Leisure,Economy Class,1006,0
-0.591,-0.73,-0.84,-0.7262,-0.6761,True,Couple Leisure,Business Class,1132,0
-0.9425,-0.9601,-0.9688,-0.9635,-0.9552,True,Solo Leisure,Economy Class,1623,0
0.9622,0.8723,0.865,0.2843,0.5471,False,Family Leisure,Business Class,700,1
-0.8185,-0.9458,-0.9639,-0.9745,-0.9295,True,Solo Leisure,Economy Class,877,0
0.9946,0.9934,0.9894,0.9722,0.9875,True,Family Leisure,Economy Class,339,1
-0.9649,-0.9778,-0.978,-0.9782,-0.9741,True,Couple Leisure,Economy Class,1474,0
0.5029,-0.5532,0.8751,-0.7333,-0.9887,True,Solo Leisure,Economy Class,425,0
-0.8999,-0.9353,-0.9471,-0.9356,-0.9204,True,Solo Leisure,Economy Class,1401,0
0.9589,0.9058,0.9283,0.6014,0.9476,False,Solo Leisure,Economy Class,344,1
-0.2999,-0.5433,-0.5948,-0.6844,-0.4353,False,Couple Leisure,Economy Class,909,0
-0.4568,-0.1138,-0.6007,-0.5931,-0.5444,True,Solo Leisure,Economy Class,1615,0
-0.5561,-0.906,-0.9449,-0.9183,-0.7851,True,Family Leisure,Economy Class,397,0
-0.7325,-0.7062,-0.9212,-0.876,-0.8581,False,Family Leisure,Economy Class,952,0
-0.8359,-0.9125,-0.9233,-0.9336,-0.8887,False,Couple Leisure,Economy Class,1305,0
-0.9675,-0.979,-0.9799,-0.9801,-0.9766,True,Solo Leisure,Economy Class,1672,0
-0.9017,-0.9759,-0.9523,-0.9445,-0.8778,True,Family Leisure,Economy Class,767,0
-0.906,-0.9619,-0.9655,-0.9619,-0.9503,True,Solo Leisure,Economy Class,690,0
-0.9372,-0.9814,-0.9862,-0.9833,-0.9759,False,Couple Leisure,Economy Class,621,0
-0.0587,-0.4594,-0.5958,-0.5251,-0.3281,False,Family Leisure,Economy Class,740,0
-0.5413,-0.9778,-0.94,-0.9537,-0.8162,True,Couple Leisure,Economy Class,528,0
0.9891,0.9882,0.9888,0.981,0.988,True,Solo Leisure,Economy Class,1204,1
0.9896,0.9861,0.9904,0.9617,0.984,True,Solo Leisure,Economy Class,217,1
0.9807,0.9649,0.9602,0.6894,0.9636,True,Solo Leisure,Economy Class,226,1
0.9548,0.9345,0.9347,0.8973,0.9481,False,Couple Leisure,Economy Class,1224,1
0.9945,0.5843,0.7531,0.2286,0.4669,False,Unknown,Economy Class,197,1
0.288,-0.9005,-0.9509,-0.9088,-0.5429,False,Unknown,Unknown,312,0
0.9927,0.9855,0.9897,0.8235,0.9675,False,Unknown,Unknown,198,0
-0.6402,-0.8781,-0.9276,-0.9368,-0.8602,True,Solo Leisure,Economy Class,364,0
