absa_seat_e2,absa_food_e2,absa_staff_e2,absa_ground_service_e2,absa_entertainment_e2,absa_seat_e2_missing,absa_food_e2_missing,absa_staff_e2_missing,absa_ground_service_e2_missing,absa_entertainment_e2_missing,Verified,Type Of Traveller,Seat Type,review_length,row_id,Review Date,Date Flown,Recommended
,0.9622,0.9747,0.5272,0.9578,1,0,0,0,0,True,Couple Leisure,Economy Class,440,111,2023-04-30,2023-04-01,1
,,0.9966,,,1,1,0,1,1,True,Solo Leisure,Economy Class,265,112,2023-04-26,2023-04-01,1
0.9888,0.9798,0.9881,0.9608,0.9664,0,0,0,0,0,True,Solo Leisure,Economy Class,580,113,2023-04-23,2023-04-01,1
,,-0.7716,-0.7811,,1,1,0,0,1,True,Solo Leisure,Economy Class,954,114,2023-04-20,2023-04-01,0
,-0.9318,-0.9423,-0.9409,,1,0,0,0,1,True,Solo Leisure,Economy Class,1677,115,2023-04-07,2023-03-01,0
,,,,,1,1,1,1,1,True,Solo Leisure,Economy Class,206,116,2023-04-01,2023-03-01,0
,0.9921,0.9645,0.9758,0.9819,1,0,0,0,0,True,Couple Leisure,Business Class,323,117,2023-03-26,2023-03-01,1
-0.8685,0.9561,0.9943,,,0,0,0,1,1,True,Family Leisure,Business Class,261,118,2023-03-21,2022-09-01,1
,,-0.0345,,,1,1,0,1,1,True,Business,Economy Class,353,119,2023-03-16,2022-07-01,0
,,-0.9589,,,1,1,0,1,1,True,Family Leisure,Economy Class,261,120,2023-03-15,2023-03-01,0
0.4374,0.9632,0.9603,,,0,0,0,1,1,True,Family Leisure,Economy Class,278,121,2023-03-03,2023-03-01,0
-0.7362,,-0.9226,-0.8952,,0,1,0,0,1,True,Couple Leisure,Economy Class,987,122,2023-02-15,2023-02-01,0
0.5296,,-0.7924,-0.5994,,0,1,0,0,1,True,Family Leisure,Economy Class,714,123,2023-02-09,2022-06-01,0
,,-0.9589,-0.9474,,1,1,0,0,1,False,Solo Leisure,Economy Class,731,124,2023-01-13,2022-12-01,0
-0.9062,,-0.8822,-0.8948,,0,1,0,0,1,True,Family Leisure,Economy Class,683,125,2023-01-09,2023-01-01,0
,,,-0.9685,,1,1,1,0,1,True,Solo Leisure,Economy Class,198,126,2022-12-31,2022-12-01,0
,,-0.9936,-0.9952,,1,1,0,0,1,True,Solo Leisure,Economy Class,161,127,2022-12-18,2022-12-01,0
-0.8425,,,-0.9454,,0,1,1,0,1,True,Family Leisure,Economy Class,910,128,2022-11-13,2022-11-01,0
,,0.9922,,,1,1,0,1,1,True,Solo Leisure,Economy Class,287,129,2022-11-13,2022-11-01,1
,-0.8981,-0.9213,-0.8961,,1,0,0,0,1,True,Family Leisure,Economy Class,1142,130,2022-11-04,2022-11-01,0
,,,-0.9351,,1,1,1,0,1,True,Business,Economy Class,644,131,2022-11-03,2022-09-01,0
,0.98,0.9912,0.9874,,1,0,0,0,1,True,Solo Leisure,Economy Class,587,132,2022-10-26,2022-10-01,1
,,,-0.9831,,1,1,1,0,1,True,Couple Leisure,Economy Class,351,133,2022-10-10,2022-08-01,0
-0.8923,,-0.9344,-0.9215,,0,1,0,0,1,True,Business,Economy Class,1259,134,2022-10-06,2022-10-01,0
,,-0.9833,-0.9791,,1,1,0,0,1,True,Couple Leisure,Economy Class,644,135,2022-10-05,2022-10-01,0
,,,-0.862,,1,1,1,0,1,False,Couple Leisure,Economy Class,1176,136,2022-10-01,2022-08-01,0
,,,-0.9179,,1,1,1,0,1,True,Solo Leisure,Economy Class,427,137,2022-09-30,2022-09-01,0
,-0.8345,,-0.8948,,1,0,1,0,1,True,Couple Leisure,Economy Class,602,138,2022-09-20,2022-09-01,0
,0.7928,0.8188,0.6019,,1,0,0,0,1,True,Family Leisure,Economy Class,1044,139,2022-09-18,2022-09-01,1
0.9957,,0.9975,,,0,1,0,1,1,True,Solo Leisure,Economy Class,185,140,2022-09-18,2022-09-01,1
,-0.3427,-0.8432,-0.7069,,1,0,0,0,1,True,Business,Economy Class,189,141,2022-09-17,2022-09-01,0
-0.7317,-0.9288,-0.9488,-0.9399,,0,0,0,0,1,True,Couple Leisure,Economy Class,1084,142,2022-09-11,2022-06-01,0
0.7097,0.9359,0.8794,,0.2208,0,0,0,1,0,True,Solo Leisure,Economy Class,663,143,2022-09-05,2022-09-01,1
-0.6587,,,,,0,1,1,1,1,True,Couple Leisure,Economy Class,541,144,2022-09-02,2022-08-01,0
0.2077,,,,,0,1,1,1,1,True,Couple Leisure,Economy Class,420,145,2022-09-02,2022-09-01,0
,0.9848,0.9903,,,1,0,0,1,1,True,Solo Leisure,Economy Class,301,146,2022-08-18,2022-06-01,1
,,-0.9381,-0.8688,-0.8252,1,1,0,0,0,True,Solo Leisure,Economy Class,734,147,2022-08-12,2022-08-01,0
,,0.9936,0.9857,,1,1,0,0,1,False,Business,Economy Class,448,148,2022-08-11,2022-08-01,1
,,,-0.9556,,1,1,1,0,1,True,Family Leisure,Economy Class,165,149,2022-08-11,2022-08-01,0
,-0.9538,,-0.979,,1,0,1,0,1,True,Business,Economy Class,337,150,2022-08-02,2022-08-01,0
,,,-0.9751,,1,1,1,0,1,True,Business,Economy Class,265,151,2022-07-29,2022-07-01,0
,,,-0.9744,,1,1,1,0,1,True,Couple Leisure,Economy Class,243,152,2022-07-11,2022-07-01,0
,,0.8655,0.7299,,1,1,0,0,1,False,Solo Leisure,Economy Class,797,153,2022-07-09,2022-07-01,1
0.2921,,0.6546,-0.0729,,0,1,0,0,1,True,Solo Leisure,Economy Class,640,154,2022-07-08,2022-07-01,0
,,,-0.9776,,1,1,1,0,1,True,Solo Leisure,Premium Economy,341,155,2022-07-07,2022-07-01,0
,,,-0.6238,,1,1,1,0,1,True,Solo Leisure,Economy Class,850,156,2022-07-03,2022-07-01,0
,0.8201,0.9439,0.5933,,1,0,0,0,1,False,Solo Leisure,Economy Class,390,157,2022-06-26,2022-06-01,1
,,,-0.9516,,1,1,1,0,1,False,Business,Economy Class,393,158,2022-06-25,2022-06-01,0
0.4272,,0.232,0.1301,,0,1,0,0,1,True,Couple Leisure,Business Class,1464,159,2022-06-20,2022-06-01,1
,,,-0.9882,,1,1,1,0,1,False,Solo Leisure,Economy Class,773,160,2022-06-20,2022-06-01,0
,,0.9001,0.8578,,1,1,0,0,1,False,Solo Leisure,Economy Class,685,161,2022-06-18,2022-06-01,1
,,-0.8946,-0.9203,,1,1,0,0,1,True,Couple Leisure,Premium Economy,760,162,2022-05-05,2022-05-01,0
,,-0.9767,-0.9322,,1,1,0,0,1,True,Couple Leisure,Economy Class,665,163,2022-05-04,2022-05-01,0
,,0.9891,,,1,1,0,1,1,True,Solo Leisure,Economy Class,336,164,2022-04-24,2022-04-01,1
,,0.9697,0.9282,,1,1,0,0,1,False,Solo Leisure,Economy Class,754,165,2022-04-20,2022-04-01,1
,,,-0.9495,,1,1,1,0,1,True,Family Leisure,Economy Class,832,166,2022-04-19,2021-05-01,0
,,-0.9184,-0.9227,,1,1,0,0,1,True,Couple Leisure,Economy Class,694,167,2022-04-19,2022-04-01,0
-0.9347,,,,,0,1,1,1,1,True,Business,Business Class,201,168,2022-04-08,2022-04-01,0
,,-0.9758,-0.9606,,1,1,0,0,1,False,Couple Leisure,Economy Class,667,169,2022-04-07,2021-09-01,0
-0.0668,,,,,0,1,1,1,1,True,Couple Leisure,Economy Class,2154,170,2022-04-04,2022-04-01,0
,0.9909,0.992,0.9772,,1,0,0,0,1,False,Solo Leisure,Economy Class,1008,171,2022-04-03,2022-03-01,1
-0.8572,,-0.9276,-0.9007,-0.8665,0,1,0,0,0,True,Business,Economy Class,1449,172,2022-04-01,2022-04-01,0
,0.9861,0.9836,,,1,0,0,1,1,True,Business,Economy Class,715,173,2022-03-06,2022-02-01,1
0.996,0.9932,0.9958,0.9742,,0,0,0,0,1,False,Solo Leisure,Economy Class,458,174,2022-02-21,2022-02-01,1
0.8339,-0.6986,0.9594,0.7304,,0,0,0,0,1,False,Family Leisure,Economy Class,756,175,2022-02-20,2022-02-01,1
,-0.6535,0.86,-0.6927,-0.7341,1,0,0,0,0,True,Family Leisure,Economy Class,459,176,2022-01-05,2021-12-01,1
,,,,-0.6711,1,1,1,1,0,True,Family Leisure,Economy Class,505,177,2021-12-31,2021-12-01,0
,,0.9959,,,1,1,0,1,1,True,Solo Leisure,Economy Class,215,178,2021-12-25,2021-11-01,1
,,,-0.95,,1,1,1,0,1,True,Business,Economy Class,455,179,2021-12-07,2021-12-01,0
-0.9461,,-0.9414,-0.9791,,0,1,0,0,1,True,Business,Economy Class,844,180,2021-11-15,2021-11-01,0
0.0395,,-0.9051,-0.7943,,0,1,0,0,1,True,Business,Economy Class,394,181,2021-11-04,2021-11-01,0
,,-0.9776,,,1,1,0,1,1,True,Family Leisure,Economy Class,326,182,2021-11-03,2021-11-01,0
-0.3186,-0.463,0.7697,,-0.2417,0,0,0,1,0,True,Solo Leisure,Economy Class,462,183,2021-10-10,2021-10-01,1
0.9006,0.8488,0.8983,0.7977,,0,0,0,0,1,True,Couple Leisure,Economy Class,821,184,2021-10-02,2021-10-01,1
,,-0.9866,-0.9688,,1,1,0,0,1,True,Couple Leisure,Economy Class,511,185,2021-10-02,2021-10-01,0
,,0.9844,0.3992,,1,1,0,0,1,True,Solo Leisure,Economy Class,532,186,2021-09-26,2021-09-01,0
,,-0.8529,-0.8114,,1,1,0,0,1,True,Solo Leisure,Economy Class,914,187,2021-09-14,2021-09-01,0
,,-0.9732,-0.9432,-0.7426,1,1,0,0,0,True,Couple Leisure,Economy Class,333,188,2021-09-12,2021-09-01,0
-0.8183,,,-0.9482,,0,1,1,0,1,True,Solo Leisure,Economy Class,580,189,2021-09-10,2021-09-01,0
,-0.7111,,-0.7212,,1,0,1,0,1,True,Business,Economy Class,450,190,2021-09-09,2021-09-01,0
,,0.94,0.9235,,1,1,0,0,1,False,Solo Leisure,Business Class,495,191,2021-09-04,2021-09-01,1
,0.9784,0.9878,,,1,0,0,1,1,False,Family Leisure,Economy Class,495,192,2021-09-03,2021-09-01,1
-0.9086,-0.9504,-0.9494,-0.9416,-0.9267,0,0,0,0,0,False,Couple Leisure,Economy Class,1596,193,2023-07-21,2022-08-01,0
0.146,,-0.2479,,-0.8823,0,1,0,1,0,True,Couple Leisure,Economy Class,698,194,2023-07-18,2023-07-01,0
,,0.975,,,1,1,0,1,1,True,Couple Leisure,Economy Class,183,195,2023-07-18,2023-07-01,1
,,,-0.9298,,1,1,1,0,1,False,Couple Leisure,Economy Class,505,196,2023-07-18,2023-07-01,0
,,-0.9895,-0.9855,,1,1,0,0,1,False,Solo Leisure,Economy Class,347,197,2023-07-15,2023-07-01,0
,,,-0.9192,,1,1,1,0,1,False,Couple Leisure,Economy Class,591,198,2023-07-14,2023-05-01,0
,,,-0.8654,,1,1,1,0,1,False,Family Leisure,Economy Class,961,199,2023-07-10,2023-07-01,0
-0.9495,,-0.977,-0.9656,-0.9746,0,1,0,0,0,False,Couple Leisure,Economy Class,754,200,2023-07-01,2023-06-01,0
,,,-0.9791,,1,1,1,0,1,False,Family Leisure,Economy Class,437,201,2023-06-30,2023-06-01,0
,,,-0.9792,,1,1,1,0,1,True,Family Leisure,Economy Class,475,202,2023-06-30,2022-08-01,0
,,,,,1,1,1,1,1,True,Family Leisure,Economy Class,354,203,2023-06-29,2023-06-01,0
,,-0.9754,-0.9334,,1,1,0,0,1,False,Couple Leisure,Economy Class,706,204,2023-06-28,2023-06-01,0
0.9954,,0.9883,0.9682,,0,1,0,0,1,True,Family Leisure,Economy Class,295,205,2023-06-27,2023-06-01,1
,,-0.9835,-0.9665,,1,1,0,0,1,False,Couple Leisure,Economy Class,549,206,2023-06-25,2023-06-01,0
,,-0.9425,-0.9257,,1,1,0,0,1,True,Couple Leisure,Economy Class,440,207,2023-06-20,2023-05-01,0
,,-0.945,-0.9476,,1,1,0,0,1,True,Solo Leisure,Economy Class,862,208,2023-06-18,2023-06-01,0
-0.9829,,-0.9938,-0.9883,,0,1,0,0,1,False,Couple Leisure,Economy Class,511,209,2023-06-17,2023-06-01,0
0.8002,0.2915,0.2998,0.3149,0.3966,0,0,0,0,0,True,Couple Leisure,Business Class,1553,210,2023-06-14,2023-06-01,1
,-0.7381,,-0.7896,-0.7334,1,0,1,0,0,True,Family Leisure,Economy Class,1880,211,2023-06-14,2023-05-01,0
,-0.9075,-0.916,-0.9164,,1,0,0,0,1,False,Business,Economy Class,1306,212,2023-06-13,2023-06-01,0
,,,-0.7409,,1,1,1,0,1,False,Family Leisure,Economy Class,725,213,2023-06-13,2023-03-01,0
0.0097,-0.9206,-0.7291,,,0,0,0,1,1,True,Business,Business Class,896,214,2023-06-11,2023-05-01,0
-0.2499,,-0.5621,-0.5574,,0,1,0,0,1,True,Solo Leisure,Economy Class,1361,215,2023-06-04,2023-06-01,1
,,-0.9376,,,1,1,0,1,1,True,Business,Business Class,897,216,2023-05-28,2023-05-01,0
,,-0.9901,-0.8823,-0.9233,1,1,0,0,0,True,Solo Leisure,Economy Class,415,217,2023-05-28,2023-05-01,0
,,-0.9358,-0.9331,,1,1,0,0,1,True,Family Leisure,Economy Class,2049,218,2023-05-27,2023-05-01,0
,,0.9786,,,1,1,0,1,1,True,Business,Economy Class,287,219,2023-05-24,2023-05-01,1
,,,-0.6226,-0.6084,1,1,1,0,0,False,Couple Leisure,Economy Class,2465,220,2023-05-23,2023-05-01,0
,,0.9403,0.7163,,1,1,0,0,1,False,Business,Premium Economy,629,221,2023-05-19,2023-05-01,1
-0.5898,-0.5942,-0.6199,-0.6303,,0,0,0,0,1,True,Couple Leisure,Business Class,1974,222,2023-05-18,2023-05-01,0
-0.7583,-0.778,-0.8825,-0.8228,,0,0,0,0,1,True,Solo Leisure,Economy Class,1718,223,2023-05-18,2023-05-01,0
-0.5144,-0.9195,-0.9048,-0.8764,-0.8558,0,0,0,0,0,True,Business,Business Class,1379,224,2023-05-17,2023-05-01,0
-0.8956,,-0.9746,-0.9544,,0,1,0,0,1,False,Family Leisure,Economy Class,863,225,2023-05-14,2023-05-01,0
-0.9822,,-0.9847,,-0.9808,0,1,0,1,0,True,Solo Leisure,Economy Class,612,226,2023-05-12,2023-05-01,0
,,-0.9854,-0.975,,1,1,0,0,1,True,Solo Leisure,Economy Class,622,227,2023-05-10,2023-05-01,0
,,0.9942,0.9497,,1,1,0,0,1,True,Couple Leisure,Economy Class,158,228,2023-05-08,2023-05-01,1
-0.9411,,-0.9594,-0.9629,,0,1,0,0,1,False,Family Leisure,Economy Class,1403,229,2023-05-01,2022-08-01,0
,,-0.9806,-0.9626,,1,1,0,0,1,False,Solo Leisure,Economy Class,505,230,2023-04-27,2023-04-01,0
,,-0.8811,,,1,1,0,1,1,False,Solo Leisure,Economy Class,542,231,2023-04-15,2023-04-01,1
